Specie,Group,Assembly,Query,ProteinLength,IsoelectricPoint,MolecularWeight,Localizations,Orthogroup,Domains,Orthogroup_
Megalopta genalis,Hymenoptera,GCF_011865705.1,XP_033336669.1,445,6.4997,50393.42,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_031777519.1,391,5.72,43919.35,Extracellular,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_031787655.1,2321,6.7299,260191.18,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046677818.1,471,3.9924,51986.14,Extracellular,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_032454795.1,503,4.6551,56228.73,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046677811.1,424,6.7913,47174.43,Extracellular,OG0000000,['Glyco_hydro_18'],0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049937944.1,560,7.6766,62047.13,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049938329.1,492,4.6713,54857.7,Extracellular,OG0000000,['Glyco_hydro_18'],0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049943197.1,433,4.7662,46880.53,Extracellular,OG0000000,['Glyco_hydro_18'],0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046674186.1,649,7.3092,73348.0,Extracellular,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_016840267.1,1711,6.5735,192899.5,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049950977.1,996,7.3289,111514.28,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049952879.1,468,8.1855,52769.56,Cell membrane|Lysosome/Vacuole,OG0000000,['Glyco_hydro_18'],0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049952881.1,436,8.2451,49403.61,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049952882.1,396,8.3565,44310.03,Cell membrane,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049954858.1,1808,5.8304,199744.3,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049958252.1,2824,6.2322,317058.56,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'CBM_14', 'CBM_14', 'CBM_14', 'Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046672884.1,480,5.2941,54055.39,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049961039.1,493,5.4524,52805.12,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049961411.1,491,4.4194,52548.31,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049961488.1,489,5.1178,51864.9,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Schistocerca serialis cubense,Orthoptera,GCF_023864345.2,XP_049952773.1,432,6.1638,47637.19,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Harmonia axyridis,Coleoptera,GCF_914767665.1,XP_045460333.1,572,4.4929,63170.81,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_008210082.1,503,4.6551,56228.73,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_008209422.1,438,7.2831,50446.33,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_019767256.2,451,7.3532,50451.9,Cell membrane,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_019769572.1,471,6.6108,53657.02,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046681145.1,1165,6.2106,131811.62,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048518218.1,564,5.9621,62853.53,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Homalodisca vitripennis,Hemiptera,GCF_021130785.1,XP_046679263.1,423,4.5703,46766.04,Extracellular,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048519893.1,801,5.0812,90614.24,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14']",0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048520209.1,200,10.9573,22697.46,Extracellular,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048520328.1,471,6.6108,53657.02,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048521806.1,471,6.6108,53657.02,Golgi apparatus,OG0000000,['Glyco_hydro_18'],0
Nasonia vitripennis,Hymenoptera,GCF_009193385.2,XP_008210079.1,484,7.5192,53333.38,Extracellular,OG0000000,"['Glyco_hydro_18', 'CBM_14']",0
Dendroctonus ponderosae,Coleoptera,GCF_020466585.1,XP_048522849.1,1134,5.5462,127406.42,Extracellular,OG0000000,"['Glyco_hydro_18', 'Glyco_hydro_18', 'CBM_14', 'Glyco_hydro_18']",0
